,lfc_R,lfc_atlas,lfc_difference,padj_R,padj_atlas,Direction_R,Direction_atlas,Direction_match
PRUPE_5G127000,-0.712865471550748,-0.7,0.01286547155074802,0.0251337921310706,0.0179780096184287,NS,Down,False
PRUPE_4G054200,-0.787405694002126,-0.8,0.012594305997874033,0.0015992008907121,0.000952230175504148,NS,Down,False
PRUPE_7G126100,-1.01245614905482,-1.0,0.012456149054820065,0.0013298417986689,0.0011177337034133,Down,Down,True
PRUPE_6G236800,-0.687667410266669,-0.7,0.012332589733330956,0.0229227823613564,0.0199252493406907,NS,Down,False
PRUPE_1G273200,-0.912161593709641,-0.9,0.012161593709640983,0.0058435520164083,0.0053842468071564,NS,Down,False
PRUPE_4G046100,0.688356603739887,0.7,0.011643396260112904,0.0231326996846165,0.0177987138174155,NS,Up,False
PRUPE_3G284300,0.81157923007512,0.8,0.011579230075119962,0.033133176139475,0.0297476300261502,NS,Up,False
PRUPE_4G128200,-0.488618110090407,-0.5,0.01138188990959299,0.0308950551960926,0.0196861556258805,NS,Down,False
PRUPE_6G003200,-0.610735331349486,-0.6,0.01073533134948601,0.0365007172438277,0.0303052005340157,NS,Down,False
PRUPE_3G211800,-1.01048673405291,-1.0,0.010486734052910007,0.0002748940634011,0.000203759611114003,Down,Down,True
PRUPE_1G506000,-0.610088650922674,-0.6,0.01008865092267397,0.0361273051972006,0.0279386282508955,NS,Down,False
PRUPE_3G039300,-0.81006321383461,-0.8,0.010063213834609952,0.037400763926567,0.0371976171441868,NS,Down,False
PRUPE_1G360400,-0.790003546124173,-0.8,0.009996453875827038,0.0002630036807611,0.000118993635578982,NS,Down,False
PRUPE_4G065700,0.709759216925603,0.7,0.009759216925602998,0.0365361846703704,0.0313012161992167,NS,Up,False
PRUPE_1G424200,-1.0097118047091,-1.0,0.009711804709100047,0.0001928913885039,0.000138689388405247,Down,Down,True
PRUPE_6G007500,0.80947412949132,0.8,0.009474129491319982,0.0497217247376679,0.0478859608246623,NS,Up,False
PRUPE_1G218300,-0.690579741622528,-0.7,0.009420258377471957,0.0364280262686324,0.0335557736535844,NS,Down,False
PRUPE_1G027600,-0.809397158448619,-0.8,0.009397158448618992,0.0004704161581864,0.000249906581396446,NS,Down,False
PRUPE_6G077600,-0.690731424259917,-0.7,0.009268575740082996,0.0454980492030458,0.0388641565925081,NS,Down,False
PRUPE_1G049000,-0.790831737706549,-0.8,0.009168262293451024,0.000860207735662,0.000459946066388588,NS,Down,False
PRUPE_8G098400,-0.491097611152071,-0.5,0.008902388847928988,0.0194358595037989,0.0098998720842976,NS,Down,False
PRUPE_4G061900,0.808678571794915,0.8,0.008678571794914935,0.0437061069505578,0.038565948420866,NS,Up,False
PRUPE_5G233300,-0.8086055552705,-0.8,0.008605555270499998,0.0358816558469088,0.0358316159828355,NS,Down,False
PRUPE_5G180300,-0.70856683006054,-0.7,0.008566830060540043,0.0154265834730412,0.0134251258193443,NS,Down,False
PRUPE_1G234000,-1.00809100065752,-1.0,0.008091000657520109,7.20332877884815e-06,3.8397329882688e-06,Down,Down,True
PRUPE_1G391300,-0.792153488509565,-0.8,0.007846511490435026,0.0024301711618509,0.0014637716721939,NS,Down,False
PRUPE_1G528400,-0.592348507980833,-0.6,0.007651492019166928,0.0176934326114566,0.0115541507292036,NS,Down,False
PRUPE_7G107700,0.792408259691278,0.8,0.007591740308722006,0.0069040249172518,0.0049042705516163,NS,Up,False
PRUPE_1G214200,-0.807563414371894,-0.8,0.007563414371894006,0.0240580351749387,0.02362147542468,NS,Down,False
PRUPE_7G249200,-0.607563199135716,-0.6,0.007563199135716014,0.0165874462660562,0.011312656028306,NS,Down,False
PRUPE_2G021000,-0.692683892916491,-0.7,0.007316107083508938,0.0040885308245274,0.0021482602978623,NS,Down,False
PRUPE_4G108400,-0.707304462026258,-0.7,0.007304462026258007,0.0080464640988873,0.0063368472060483,NS,Down,False
PRUPE_7G138600,-0.807279344293711,-0.8,0.00727934429371091,0.000406716594299,0.000201112054929829,NS,Down,False
PRUPE_2G176600,-0.807046118737843,-0.8,0.007046118737842999,3.76916851015513e-05,1.01331105561165e-05,NS,Down,False
PRUPE_2G071300,-0.707023425812863,-0.7,0.007023425812863082,0.0231326996846165,0.0207933784054577,NS,Down,False
PRUPE_2G236100,-0.792995860147076,-0.8,0.0070041398529240295,0.0090695773424784,0.0071508810830128,NS,Down,False
PRUPE_6G255900,-0.593445125628088,-0.6,0.006554874371911934,0.0348986687211841,0.0249746940900246,NS,Down,False
PRUPE_4G080900,-0.706189054580506,-0.7,0.006189054580506004,0.017647752881855,0.013940770421147,NS,Down,False
PRUPE_3G144900,-0.794031002735137,-0.8,0.005968997264862996,0.0109432661456226,0.0092055526657644,NS,Down,False
PRUPE_3G046100,-0.705966793706477,-0.7,0.005966793706477014,0.0428881385289552,0.0384943634714141,NS,Down,False
PRUPE_1G485000,-0.594109046331467,-0.6,0.005890953668532983,0.0402660174533014,0.0303295562731216,NS,Down,False
PRUPE_3G039000,0.805610254937074,0.8,0.005610254937074011,0.0017352986489294,0.0010096316197752,NS,Up,False
PRUPE_3G315200,-0.805563367869952,-0.8,0.0055633678699519296,0.0280457480807083,0.02362147542468,NS,Down,False
PRUPE_7G094700,0.794511502810651,0.8,0.005488497189349073,0.0153381045039959,0.0138253679678577,NS,Up,False
PRUPE_6G001600,-1.3054755686132,-1.3,0.005475568613199977,4.21765997697304e-12,2.7797498987179e-13,Down,Down,True
PRUPE_4G041400,-1.20531934841421,-1.2,0.005319348414210001,3.10061244672033e-07,1.14434460994809e-07,Down,Down,True
PRUPE_6G341400,-0.795027946985905,-0.8,0.00497205301409509,0.0137494654948187,0.0125760110369886,NS,Down,False
PRUPE_3G025900,-1.50467416050473,-1.5,0.004674160504730018,4.3893823872832e-17,8.593538137940841e-19,Down,Down,True
PRUPE_1G014000,-0.495434404110885,-0.5,0.004565595889114982,0.03210404935411,0.020316943855819,NS,Down,False
PRUPE_4G196500,-1.40451199432443,-1.4,0.0045119943244300575,2.10945537785135e-10,6.8268445823332e-11,Down,Down,True
PRUPE_1G405800,-0.704394596827148,-0.7,0.004394596827148045,0.0060499601605577,0.0045722099910643,NS,Down,False
PRUPE_8G263600,-0.595612888852078,-0.6,0.004387111147922007,0.0089613544169482,0.0053922017751201,NS,Down,False
PRUPE_2G277200,0.804317452001928,0.8,0.004317452001927902,0.0173465448385357,0.016534256764738,NS,Up,False
PRUPE_5G180900,-0.704090127371315,-0.7,0.004090127371315089,0.0068632443071237,0.0050129221566668,NS,Down,False
PRUPE_1G128700,-0.596092952550127,-0.6,0.0039070474498730245,0.0064304738914147,0.0038054412302503,NS,Down,False
