"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","threshold"
3.16288768093082,5.31541310945894,1.59732388379184,3.32769901170003,0.000875664193285183,0.0176934326114566,"ENSRNA049996241","Up"
67.2469629983499,0.988818133513812,0.284399211128767,3.47686665370568,0.000507310057582892,0.0115745205399716,"ENSRNA049996654","NS"
22.1479846178577,1.77072919334022,0.515898076425846,3.43232369775029,0.000598432826969053,0.0133205169905481,"ENSRNA049996784","Up"
1821.67298801291,-1.22264958476666,0.177991761058023,-6.86913583808009,6.45919794193007e-12,1.54738160696362e-09,"PRUPE_1G002500","Down"
23.8958799784983,-3.34672652116709,0.667178440299467,-5.01623901345627,5.26927709985559e-07,3.47029881851314e-05,"PRUPE_1G011900","Down"
1249.72339226929,-0.495434404110885,0.15954815407279,-3.10523432245323,0.00190128338204617,0.03210404935411,"PRUPE_1G014000","NS"
24.7294485052906,-2.19067099248433,0.531114843854547,-4.12466534843127,3.71274188903547e-05,0.00132257803537853,"PRUPE_1G016500","Down"
127.218906263001,-2.3799086754642,0.374724275816844,-6.3510928676194,2.1379058771286e-10,3.53215225303186e-08,"PRUPE_1G016600","Down"
49.8902280725553,-3.16259470226988,0.453185285923875,-6.97859087773015,2.98155328715623e-12,7.93631510393739e-10,"PRUPE_1G016700","Down"
132.46179904229,2.13480395824808,0.321532356975105,6.6394685074055,3.14816254060376e-11,6.22005516398671e-09,"PRUPE_1G016900","Up"
31.1990021290781,2.10840914631404,0.475481820828519,4.43425816499182,9.23898622015718e-06,0.000426663062432078,"PRUPE_1G017000","Up"
126.225136869733,0.897004531808046,0.278748864151663,3.21796658988357,0.00129102855094922,0.023928976962226,"PRUPE_1G019100","NS"
30.1319144504022,-1.42294490976224,0.434643277526646,-3.27382242711669,0.0010610326515238,0.0205883273855273,"PRUPE_1G020200","Down"
112.380811802486,1.36487876358879,0.306679676266002,4.45050281846829,8.5669469271471e-06,0.000401431632906538,"PRUPE_1G025600","Up"
851.924096741331,-0.809397158448619,0.183447856356674,-4.41213745705985,1.02355094163191e-05,0.000470416158186464,"PRUPE_1G027600","NS"
449.885217311278,0.699819600387568,0.230171803110622,3.04042280996178,0.0023624624022447,0.0377934824198829,"PRUPE_1G031100","NS"
1307.93358864928,-1.11355483751384,0.203624351376406,-5.46867223879034,4.53419319794313e-08,4.15779007840096e-06,"PRUPE_1G032000","Down"
55.5177257179379,-2.03290299712007,0.533519175637668,-3.81036538131984,0.000138761555981989,0.0039515084998437,"PRUPE_1G032900","Down"
451.75539869716,-1.2670525030308,0.34126241695609,-3.71283926994466,0.000204947052275458,0.00541020696537074,"PRUPE_1G034300","Down"
17.2593839084778,-4.02994501396305,1.30053806812787,-3.09867516585975,0.00194388021009465,0.0325983455257004,"PRUPE_1G036400","Down"
34.1692024226189,-6.36657667742657,2.10317205017545,-3.02713069855386,0.00246887184848991,0.0391338041160721,"PRUPE_1G036600","Down"
38.0324208304688,-2.29120420116343,0.69258983479439,-3.30816897109617,0.000939081310997963,0.0187084130200374,"PRUPE_1G036800","Down"
126.102995198812,-1.48608500438074,0.362336015823497,-4.10140019065796,4.10657633604566e-05,0.00143617765475028,"PRUPE_1G037900","Down"
1392.11803373034,1.38462075591633,0.307919885431878,4.4966915792863,6.90189914205956e-06,0.000329862586178482,"PRUPE_1G038200","Up"
77.309630905824,-1.45354606948144,0.300611898701391,-4.83529120357707,1.32950861131225e-06,8.06330143537951e-05,"PRUPE_1G039200","Down"
252.622230888653,-0.969787238924465,0.245967950841085,-3.94273821287808,8.05565718710392e-05,0.00252678674289438,"PRUPE_1G044000","NS"
150.291573026002,-1.07063681719602,0.247953541576456,-4.31789282132874,1.57525886516212e-05,0.000667916729000707,"PRUPE_1G045600","Down"
395.78860044215,-0.790831737706549,0.186276696669413,-4.24546790793721,2.18137729993089e-05,0.000860207735662049,"PRUPE_1G049000","NS"
241.511817615741,3.08833988935576,0.456481500075427,6.76553132787519,1.32820850410212e-11,2.9258754001284e-09,"PRUPE_1G050900","Up"
117.715498522836,2.50491739489602,0.568961969988141,4.4026095363601,1.06956558793708e-05,0.000488052964114622,"PRUPE_1G051100","Up"
1766.6922955139,-1.53678742170651,0.363750728311756,-4.22483668648325,2.39114117730385e-05,0.000927688206977659,"PRUPE_1G055000","Down"
118.058516018964,-1.48340950046561,0.433238747014687,-3.42400007083235,0.000617066048672159,0.0135941407484384,"PRUPE_1G055300","Down"
168.989551677313,-1.46193357692679,0.422862450858047,-3.4572319532281,0.000545754876530737,0.0123341889253674,"PRUPE_1G055900","Down"
1759.42796847149,-1.28055682211506,0.344496038016214,-3.71718882309696,0.000201451880754525,0.00534000732318185,"PRUPE_1G056000","Down"
145.812584036692,1.09306660272447,0.256619789103081,4.25947900021616,2.04903947587084e-05,0.00082154480240721,"PRUPE_1G056600","Up"
293.931766349977,0.743770775977567,0.216088467361361,3.4419734891903,0.000577486842429049,0.0129748362662986,"PRUPE_1G060900","NS"
179.312464026313,1.42456431773025,0.312165708883138,4.56348752342798,5.03108010280391e-06,0.000255081085106447,"PRUPE_1G061000","Up"
128.363571137993,-4.48639739735688,0.564740141006242,-7.94418011328735,1.95479386248537e-15,1.01253038850087e-12,"PRUPE_1G064900","Down"
704.76888893253,-0.681043164314441,0.208064601106279,-3.27322937536388,0.0010632615433984,0.0206040520518001,"PRUPE_1G068000","NS"
38.2426466627728,1.03147300087293,0.347718756803309,2.96640023205995,0.00301308101246217,0.0455048838485718,"PRUPE_1G070500","Up"
